sim_type,regrowth,klepts,foragers,variable,value,value_cut
facultative,0.001,0.007,0.011,pc_intake_forager,0.000520589481923981,"(0,0.01]"
facultative,0.001,0.007,0.015,pc_intake_forager,0.00095506234021376,"(0,0.01]"
facultative,0.001,0.002,0.01,pc_intake_forager,0.000233567330671236,"(0,0.01]"
facultative,0.001,0.005,0.011,pc_intake_forager,0.000577892532663849,"(0,0.01]"
facultative,0.001,0.01,0.016,pc_intake_forager,0.00104975923530639,"(0,0.01]"
facultative,0.001,0.012,0.018,pc_intake_forager,0.00208483120302294,"(0,0.01]"
facultative,0.001,0.003,0.013,pc_intake_forager,0.000622353121886924,"(0,0.01]"
facultative,0.001,0.003,0.011,pc_intake_forager,0.00050493992193238,"(0,0.01]"
facultative,0.001,0.005,0.009,pc_intake_forager,0.00036773681526503,"(0,0.01]"
facultative,0.001,0.013,0.006,pc_intake_forager,0.00809953230978363,"(0,0.01]"
facultative,0.001,0.015,0.011,pc_intake_forager,0.00386588835349276,"(0,0.01]"
facultative,0.001,0.004,0.01,pc_intake_forager,0.000456432462072451,"(0,0.01]"
facultative,0.001,0.008,0.011,pc_intake_forager,0.00053410342849784,"(0,0.01]"
facultative,0.001,0.006,0.005,pc_intake_forager,0.0209048105927101,"(0.02,0.03]"
facultative,0.001,0.013,0.013,pc_intake_forager,0.000772619076548507,"(0,0.01]"
facultative,0.001,0.009,0.012,pc_intake_forager,0.00890335651505836,"(0,0.01]"
facultative,0.001,0.009,0.019,pc_intake_forager,0.00147857709666751,"(0,0.01]"
facultative,0.001,0.002,0.011,pc_intake_forager,0.000440185099612877,"(0,0.01]"
facultative,0.001,0.002,0.015,pc_intake_forager,0.00108836405566793,"(0,0.01]"
facultative,0.001,0.011,0.006,pc_intake_forager,0.0108325001917772,"(0.01,0.02]"
facultative,0.001,0.017,0.011,pc_intake_forager,0.00744792487024573,"(0,0.01]"
facultative,0.001,0.011,0.01,pc_intake_forager,0.00047905182234616,"(0,0.01]"
facultative,0.001,0.013,0.008,pc_intake_forager,0.00466116620584512,"(0,0.01]"
facultative,0.001,0.003,0.01,pc_intake_forager,0.000319400595693771,"(0,0.01]"
facultative,0.001,0.014,0.014,pc_intake_forager,0.000752889498515855,"(0,0.01]"
facultative,0.001,0.014,0.009,pc_intake_forager,0.00581115148206184,"(0,0.01]"
facultative,0.001,0.009,0.01,pc_intake_forager,0.000467181474036755,"(0,0.01]"
facultative,0.001,0.009,0.015,pc_intake_forager,0.00122209767764994,"(0,0.01]"
facultative,0.001,0.004,0.018,pc_intake_forager,0.00112685705889932,"(0,0.01]"
facultative,0.001,0.005,0.02,pc_intake_forager,0.00150850386810923,"(0,0.01]"
facultative,0.001,0.009,0.014,pc_intake_forager,0.000749744450143143,"(0,0.01]"
facultative,0.001,0.008,0.018,pc_intake_forager,0.00149188384848204,"(0,0.01]"
facultative,0.001,0.006,0.006,pc_intake_forager,0.000148685700989132,"(0,0.01]"
facultative,0.001,0.006,0.02,pc_intake_forager,0.0016139897616638,"(0,0.01]"
facultative,0.001,0.016,0.013,pc_intake_forager,0.000283738001129306,"(0,0.01]"
facultative,0.001,0.011,0.014,pc_intake_forager,0.000907727902367448,"(0,0.01]"
facultative,0.001,0.006,0.007,pc_intake_forager,0.000164837153271554,"(0,0.01]"
facultative,0.001,0.012,0.004,pc_intake_forager,0.00543444987223004,"(0,0.01]"
facultative,0.001,0.004,0.014,pc_intake_forager,0.000595558463652113,"(0,0.01]"
facultative,0.001,0.01,0.021,pc_intake_forager,0.00211584543425976,"(0,0.01]"
facultative,0.001,0.003,0.009,pc_intake_forager,0.000263051636252189,"(0,0.01]"
facultative,0.001,0.017,0.009,pc_intake_forager,0.00419876545713731,"(0,0.01]"
facultative,0.001,0.004,0.007,pc_intake_forager,0.000183908454137532,"(0,0.01]"
facultative,0.001,0.006,0.004,pc_intake_forager,0,
facultative,0.001,0.013,0.01,pc_intake_forager,0.0119779098306891,"(0.01,0.02]"
facultative,0.001,0.005,0.016,pc_intake_forager,0.00111916638649091,"(0,0.01]"
facultative,0.001,0.004,0.012,pc_intake_forager,0.00061066999995401,"(0,0.01]"
facultative,0.001,0.003,0.014,pc_intake_forager,0.000624370013758211,"(0,0.01]"
facultative,0.001,0.011,0.017,pc_intake_forager,0.00192133380765582,"(0,0.01]"
facultative,0.001,0.006,0.018,pc_intake_forager,0.00159054036769199,"(0,0.01]"
facultative,0.001,0.008,0.021,pc_intake_forager,0.00319997354070783,"(0,0.01]"
facultative,0.001,0.004,0.016,pc_intake_forager,0.000997603502330378,"(0,0.01]"
facultative,0.001,0.013,0.005,pc_intake_forager,0.00591617584132498,"(0,0.01]"
facultative,0.001,0.007,0.002,pc_intake_forager,0.00234025234025234,"(0,0.01]"
facultative,0.001,0.016,0.006,pc_intake_forager,0.00603218330491058,"(0,0.01]"
facultative,0.001,0.011,0.005,pc_intake_forager,0.00599887676222142,"(0,0.01]"
facultative,0.001,0.009,0.007,pc_intake_forager,0.00257852598234899,"(0,0.01]"
facultative,0.001,0.008,0.02,pc_intake_forager,0.00191185018303538,"(0,0.01]"
facultative,0.001,0.007,0.023,pc_intake_forager,0.00127992776057792,"(0,0.01]"
facultative,0.001,0.012,0.016,pc_intake_forager,0.00156494630056242,"(0,0.01]"
facultative,0.001,0.008,0.017,pc_intake_forager,0.000977321174796171,"(0,0.01]"
facultative,0.001,0.002,0.013,pc_intake_forager,0.000283130979409251,"(0,0.01]"
facultative,0.001,0.005,0.019,pc_intake_forager,0.00158378034953017,"(0,0.01]"
facultative,0.001,0.015,0.005,pc_intake_forager,0.00544073502987331,"(0,0.01]"
facultative,0.001,0.004,0.021,pc_intake_forager,0.00203959606475109,"(0,0.01]"
facultative,0.001,0.001,0.013,pc_intake_forager,0.000634559085555763,"(0,0.01]"
facultative,0.001,0.009,0.018,pc_intake_forager,0.00139596757465762,"(0,0.01]"
facultative,0.001,0.013,0.011,pc_intake_forager,0.00911167088539282,"(0,0.01]"
facultative,0.001,0.019,0.014,pc_intake_forager,0.00141843971631206,"(0,0.01]"
facultative,0.001,0.013,0.012,pc_intake_forager,0.00839260447871693,"(0,0.01]"
facultative,0.001,0.01,0.015,pc_intake_forager,0.00117869771988462,"(0,0.01]"
facultative,0.001,0.004,0.023,pc_intake_forager,0.000931966449207829,"(0,0.01]"
facultative,0.001,0.001,0.02,pc_intake_forager,0.00102588383838384,"(0,0.01]"
facultative,0.001,0.006,0.003,pc_intake_forager,0,
facultative,0.001,0.001,0.012,pc_intake_forager,0.000602459870752554,"(0,0.01]"
facultative,0.001,0.008,0.016,pc_intake_forager,0.00123534964428687,"(0,0.01]"
facultative,0.001,0.017,0.01,pc_intake_forager,0.00591928956590611,"(0,0.01]"
facultative,0.001,0.013,0.019,pc_intake_forager,0.00314666193746271,"(0,0.01]"
facultative,0.001,0.011,0.013,pc_intake_forager,0.000675125669147443,"(0,0.01]"
facultative,0.001,0.002,0.009,pc_intake_forager,0.00030666431222959,"(0,0.01]"
facultative,0.001,0.004,0.02,pc_intake_forager,0.00159924452665228,"(0,0.01]"
facultative,0.001,0.014,0.012,pc_intake_forager,0.0060491804659639,"(0,0.01]"
